,time,open,high,low,close,volume
0,2020-07-10 20:00:00,213.720222635,213.720222635,213.720222635,213.720222635,474
1,2020-07-10 19:58:00,213.68031968,213.68031968,213.68031968,213.68031968,312
2,2020-07-10 19:57:00,213.71024689599997,213.71024689599997,213.71024689599997,213.71024689599997,694
3,2020-07-10 19:55:00,213.650392465,213.650392465,213.650392465,213.650392465,152
4,2020-07-10 19:52:00,213.600513772,213.600513772,213.600513772,213.600513772,115
5,2020-07-10 19:50:00,213.54065934099998,213.54065934099998,213.54065934099998,213.54065934099998,348
6,2020-07-10 19:46:00,213.54065934099998,213.71014713900001,213.54065934099998,213.71014713900001,1091
7,2020-07-10 19:45:00,213.68031968,213.68031968,213.68031968,213.68031968,215
8,2020-07-10 19:43:00,213.630440988,213.630440988,213.48080490900003,213.630440988,2019
9,2020-07-10 19:38:00,213.720222635,213.720222635,213.68031968,213.720222635,1212
10,2020-07-10 19:37:00,213.650392465,213.650392465,213.650392465,213.650392465,422
11,2020-07-10 19:31:00,213.660368203,213.660368203,213.660368203,213.660368203,197
12,2020-07-10 19:30:00,213.64041672599998,213.660368203,213.64041672599998,213.660368203,1014
13,2020-07-10 19:25:00,213.620465249,213.630440988,213.620465249,213.630440988,945
14,2020-07-10 19:22:00,213.570586556,213.620465249,213.570586556,213.600513772,1161
15,2020-07-10 19:19:00,213.48080490900003,213.48080490900003,213.48080490900003,213.48080490900003,301
16,2020-07-10 19:16:00,213.530683602,213.530683602,213.48080490900003,213.48080490900003,2216
17,2020-07-10 19:09:00,213.54065934099998,213.54065934099998,213.54065934099998,213.54065934099998,344
18,2020-07-10 19:02:00,213.580562295,213.580562295,213.580562295,213.580562295,1283
19,2020-07-10 19:01:00,213.530683602,213.530683602,213.530683602,213.530683602,1012
20,2020-07-10 19:00:00,213.580562295,213.580562295,213.530683602,213.530683602,813
21,2020-07-10 18:55:00,213.530683602,213.530683602,213.530683602,213.530683602,270
22,2020-07-10 18:49:00,213.50075638599998,213.50075638599998,213.490780648,213.490780648,500
23,2020-07-10 18:40:00,213.490780648,213.490780648,213.490780648,213.490780648,205
24,2020-07-10 18:39:00,213.580562295,213.580562295,213.55063507900002,213.55063507900002,213
25,2020-07-10 18:38:00,213.570586556,213.580562295,213.570586556,213.580562295,1040
26,2020-07-10 18:36:00,213.520707864,213.560610818,213.520707864,213.560610818,545
27,2020-07-10 18:34:00,213.530683602,213.530683602,213.530683602,213.530683602,179
28,2020-07-10 18:33:00,213.530683602,213.530683602,213.530683602,213.530683602,196
