,time,open,high,low,close,volume
0,2020-09-09 20:00:00,212.11,212.65,212.11,212.65,7543
1,2020-09-09 19:59:00,212.27,212.27,212.11,212.11,568
2,2020-09-09 19:58:00,212.32,212.32,212.25,212.27,674
3,2020-09-09 19:57:00,212.46,212.46,212.4,212.43,765
4,2020-09-09 19:56:00,212.01,212.25,212.01,212.25,542
5,2020-09-09 19:55:00,211.77,212.15,211.77,212.01,868
6,2020-09-09 19:54:00,212.11,212.11,212.11,212.11,430
7,2020-09-09 19:53:00,212.15,212.15,212.13,212.13,610
8,2020-09-09 19:52:00,212.16,212.16,212.16,212.16,295
9,2020-09-09 19:49:00,212.17,212.17,212.16,212.16,401
10,2020-09-09 19:47:00,211.95,211.95,211.95,211.95,552
11,2020-09-09 19:46:00,212.25,212.25,212.0,212.0,2726
12,2020-09-09 19:45:00,212.0,212.0,212.0,212.0,2089
13,2020-09-09 19:44:00,212.0,212.0,212.0,212.0,618
14,2020-09-09 19:43:00,212.01,212.01,212.01,212.01,715
15,2020-09-09 19:42:00,212.12,212.12,212.12,212.12,610
16,2020-09-09 19:41:00,211.8,212.2,211.8,212.2,1086
17,2020-09-09 19:40:00,212.06,212.06,212.06,212.06,427
18,2020-09-09 19:38:00,212.25,212.25,212.06,212.06,893
19,2020-09-09 19:37:00,212.25,212.25,212.25,212.25,2709
20,2020-09-09 19:36:00,212.25,212.33,212.25,212.33,821
21,2020-09-09 19:35:00,212.27,212.27,212.27,212.27,311
22,2020-09-09 19:34:00,212.33,212.33,212.33,212.33,354
23,2020-09-09 19:33:00,212.25,212.25,212.25,212.25,631
24,2020-09-09 19:32:00,212.25,212.25,212.25,212.25,111
25,2020-09-09 19:30:00,212.41,212.41,212.09,212.09,926
26,2020-09-09 19:27:00,212.47,212.47,212.47,212.47,303
27,2020-09-09 19:26:00,211.91,212.03,211.78,212.03,1052
28,2020-09-09 19:25:00,212.15,212.15,212.03,212.03,945
29,2020-09-09 19:24:00,212.03,212.03,212.03,212.03,390
30,2020-09-09 19:23:00,212.25,212.25,212.0,212.03,1430
31,2020-09-09 19:22:00,212.25,212.25,212.11,212.11,1117
32,2020-09-09 19:21:00,212.6,212.6,212.27,212.5,2501
33,2020-09-09 19:20:00,212.52,212.65,212.5,212.6499,952
34,2020-09-09 19:19:00,212.65,212.65,212.65,212.65,654
35,2020-09-09 19:18:00,212.64,212.64,212.64,212.64,355
36,2020-09-09 19:17:00,212.63,212.65,212.63,212.65,580
37,2020-09-09 19:16:00,212.52,212.53,212.52,212.52,775
38,2020-09-09 19:15:00,212.3,212.5,212.3,212.5,1724
39,2020-09-09 19:14:00,212.48,212.48,212.48,212.48,1474
40,2020-09-09 19:13:00,212.32,212.32,212.3,212.32,1000
41,2020-09-09 19:12:00,212.4,212.5,212.4,212.5,820
42,2020-09-09 19:10:00,212.4,212.4,212.31,212.31,2231
43,2020-09-09 19:09:00,212.4,212.4,212.3,212.3,453
44,2020-09-09 19:08:00,212.3,212.3,212.3,212.3,650
45,2020-09-09 19:07:00,212.3,212.3,212.3,212.3,168
46,2020-09-09 19:06:00,212.39,212.39,212.3,212.3,758
47,2020-09-09 19:05:00,212.4,212.4,212.32,212.32,620
48,2020-09-09 19:04:00,212.38,212.4,212.37,212.37,1334
49,2020-09-09 19:03:00,212.32,212.32,212.32,212.32,952
50,2020-09-09 19:01:00,212.43,212.43,212.31,212.31,1141
51,2020-09-09 19:00:00,212.4,212.4,212.4,212.4,261
52,2020-09-09 18:59:00,212.42,212.42,212.42,212.42,2152
53,2020-09-09 18:57:00,212.43,212.43,212.43,212.43,466
54,2020-09-09 18:56:00,212.47,212.48,212.45,212.46,2206
55,2020-09-09 18:55:00,212.46,212.46,212.46,212.46,1086
56,2020-09-09 18:54:00,212.48,212.48,212.45,212.45,555
