date_announced,entry_type,correct_type,update_type,update_level,init_country_level,Border,Regulation,Lockdown,Curfew,Social Distancing,compliance
2019-12-31,7.0,8.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,4.0
2020-01-01,11.0,12.0,2.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,6.0
2020-01-02,9.5,10.0,1.0,1.0,10.5,0.0,3.0,0.0,0.0,0.0,7.0
2020-01-03,6.333333333333334,6.666666666666668,0.6666666666666666,0.6666666666666666,7.000000000000001,0.0,3.0,0.0,0.0,0.0,7.0
2020-01-04,14.083333333333332,15.333333333333332,3.5,2.5,16.583333333333332,0.0,6.0,0.0,0.0,1.0,11.0
2020-01-05,13.066666666666666,14.266666666666667,3.4,2.4,15.466666666666667,0.0,6.0,0.0,0.0,1.0,11.0
2020-01-06,7.466666666666667,8.133333333333333,1.8333333333333333,1.3333333333333333,8.8,0.0,6.0,0.0,0.0,1.0,11.0
2020-01-07,8.399999999999999,9.876190476190482,2.2857142857142856,2.952380952380952,10.352380952380958,0.0,7.0,0.0,0.0,1.0,13.0
2020-01-08,6.404761904761904,7.654761904761904,1.75,2.5,7.904761904761904,0.0,6.0,0.0,0.0,1.0,9.0
2020-01-09,9.785714285714286,12.485714285714288,3.1,5.4,12.685714285714289,0.0,7.0,0.0,0.0,1.0,11.0
2020-01-10,8.666666666666664,11.166666666666668,2.8333333333333335,5.0,11.333333333333336,0.0,6.0,0.0,0.0,1.0,10.0
2020-01-11,13.17857142857143,14.571428571428575,1.6785714285714284,2.7857142857142856,14.714285714285719,0.0,8.0,0.0,0.0,1.0,14.0
2020-01-12,10.6,11.466666666666665,0.8666666666666667,1.7333333333333334,11.466666666666665,0.0,5.0,0.0,0.0,0.0,10.0
2020-01-13,6.0,6.666666666666666,0.6666666666666666,1.3333333333333333,6.666666666666666,0.0,5.0,0.0,0.0,0.0,10.0
2020-01-14,4.295238095238096,4.838095238095238,0.5428571428571429,1.0857142857142859,4.838095238095238,0.0,5.0,0.0,0.0,0.0,10.0
2020-01-15,3.0,3.333333333333334,0.3333333333333333,0.6666666666666666,3.333333333333334,0.0,4.0,0.0,0.0,0.0,8.0
2020-01-16,4.457142857142857,4.742857142857142,0.2857142857142857,0.5714285714285714,4.742857142857142,0.0,5.0,0.0,0.0,0.0,9.0
2020-01-17,5.333333333333332,5.333333333333332,0.0,0.0,5.333333333333332,1.0,3.0,0.0,0.0,0.0,5.0
2020-01-18,6.142857142857142,6.142857142857142,0.0,0.0,6.142857142857142,1.0,4.0,0.0,0.0,0.0,6.0
2020-01-19,3.6666666666666665,3.6666666666666665,0.0,0.0,3.6666666666666665,1.0,2.0,0.0,0.0,0.0,2.0
2020-01-20,19.166666666666668,20.166666666666668,1.0,2.0,21.166666666666668,1.0,7.0,0.0,0.0,0.0,8.0
2020-01-21,46.56666666666666,50.56666666666666,5.0,10.0,54.56666666666666,3.0,13.0,0.0,0.0,2.0,22.0
2020-01-22,54.733333333333334,57.233333333333334,6.5,11.0,63.733333333333334,4.0,14.0,0.0,0.0,2.0,30.0
2020-01-23,108.68571428571433,114.51904761904767,14.333333333333334,20.666666666666668,123.352380952381,7.0,29.0,0.0,0.0,3.0,65.0
2020-01-24,244.70238095238088,261.4523809523808,38.58333333333334,36.16666666666666,274.2023809523812,18.0,58.0,1.0,0.0,4.0,144.0
2020-01-25,298.8523809523809,308.9690476190475,33.86666666666667,30.066666666666666,313.9190476190475,21.0,65.0,1.0,0.0,7.0,186.0
2020-01-26,268.84999999999934,277.53333333333273,23.799999999999994,26.1,291.3833333333333,24.0,71.0,1.0,0.0,7.0,213.0
2020-01-27,288.57857142857046,303.93809523809483,33.87619047619047,26.51904761904762,319.68095238095253,28.0,81.0,2.0,0.0,7.0,262.0
2020-01-28,261.28333333333296,277.46190476190344,34.238095238095255,29.44285714285713,288.52380952380867,32.0,84.0,2.0,1.0,8.0,276.0
2020-01-29,227.2952380952382,241.35238095238125,25.069047619047605,25.38571428571427,249.2309523809525,30.0,89.0,2.0,1.0,6.0,281.0
2020-01-30,240.92619047619056,251.25714285714292,20.54523809523809,23.39999999999998,257.4119047619045,32.0,94.0,2.0,1.0,6.0,301.0
2020-01-31,283.52142857142843,309.00952380952174,38.880952380952394,41.838095238095214,328.54999999999944,33.0,105.0,2.0,1.0,8.0,314.0
2020-02-01,242.66428571428546,266.32619047619056,35.84285714285715,33.31904761904762,291.97857142857066,24.0,80.0,1.0,1.0,7.0,247.0
2020-02-02,164.5976190476193,178.52857142857184,24.08095238095237,18.392857142857135,197.78571428571433,20.0,75.0,1.0,1.0,4.0,209.0
2020-02-03,156.9785714285713,170.0785714285716,21.43571428571428,18.45714285714285,180.8047619047619,18.0,76.0,2.0,1.0,4.0,201.0
2020-02-04,143.5380952380955,153.69285714285743,16.12380952380952,16.0452380952381,168.0952380952382,15.0,68.0,1.0,1.0,5.0,164.0
2020-02-05,130.90000000000015,145.3785714285718,20.752380952380943,17.178571428571427,159.8785714285715,11.0,66.0,1.0,0.0,5.0,162.0
2020-02-06,124.30714285714313,142.00714285714267,19.89523809523811,19.32380952380952,156.00000000000003,12.0,58.0,1.0,0.0,6.0,155.0
2020-02-07,120.03809523809541,136.91904761904755,17.078571428571426,18.73809523809523,153.92857142857102,9.0,54.0,1.0,0.0,8.0,144.0
2020-02-08,113.24285714285737,132.35238095238108,20.488095238095227,21.140476190476193,145.07857142857142,5.0,39.0,1.0,0.0,6.0,116.0
2020-02-09,91.15238095238097,107.48571428571434,18.485714285714288,21.116666666666667,116.86190476190477,4.0,38.0,1.0,0.0,6.0,109.0
2020-02-10,98.94047619047639,114.1952380952384,16.71428571428571,20.340476190476178,124.26190476190499,4.0,39.0,1.0,0.0,7.0,126.0
2020-02-11,113.76428571428586,132.59761904761908,24.542857142857134,21.89285714285714,141.56428571428583,3.0,38.0,1.0,0.0,7.0,127.0
2020-02-12,87.80238095238104,102.66190476190492,20.228571428571424,16.666666666666668,107.23095238095252,2.0,36.0,1.0,0.0,6.0,116.0
2020-02-13,59.0761904761905,67.67380952380955,11.11904761904761,10.047619047619055,72.44523809523808,2.0,31.0,1.0,0.0,5.0,101.0
2020-02-14,52.130952380952394,58.98571428571433,7.888095238095242,7.014285714285712,65.9928571428572,1.0,33.0,1.0,0.0,4.0,95.0
2020-02-15,82.11428571428584,92.3166666666669,17.761904761904756,12.045238095238103,107.30952380952398,4.0,44.0,1.0,1.0,3.0,102.0
2020-02-16,76.36190476190478,85.2380952380953,16.519047619047615,11.971428571428577,99.14047619047626,4.0,35.0,1.0,1.0,2.0,86.0
2020-02-17,75.33571428571432,84.05000000000007,12.714285714285714,6.523809523809522,99.94523809523814,3.0,32.0,1.0,1.0,2.0,92.0
2020-02-18,68.01190476190477,74.42857142857152,9.214285714285717,3.333333333333333,87.38809523809543,3.0,30.0,1.0,1.0,1.0,76.0
2020-02-19,69.10476190476194,72.38809523809526,5.833333333333334,2.9166666666666665,82.01190476190474,4.0,28.0,0.0,1.0,1.0,65.0
2020-02-20,75.59761904761913,79.0142857142858,4.650000000000001,2.566666666666667,90.71666666666674,7.0,29.0,0.0,1.0,1.0,73.0
2020-02-21,97.45476190476194,103.38095238095238,11.45,3.816666666666667,122.67619047619048,8.0,35.0,1.0,1.0,2.0,89.0
2020-02-22,102.35238095238114,108.33333333333357,12.814285714285715,3.4666666666666663,129.19523809523815,8.0,34.0,2.0,1.0,3.0,96.0
2020-02-23,134.6857142857144,139.16190476190494,9.892857142857142,9.36904761904762,163.4714285714286,10.0,29.0,2.0,0.0,2.0,103.0
2020-02-24,126.80714285714303,131.98571428571432,11.295238095238092,11.723809523809525,153.36190476190464,10.0,30.0,2.0,0.0,5.0,108.0
2020-02-25,111.58095238095248,122.36428571428583,20.333333333333336,13.666666666666668,142.16428571428574,13.0,36.0,2.0,0.0,7.0,113.0
2020-02-26,123.6976190476193,133.0476190476192,20.242857142857133,16.709523809523805,152.9166666666667,18.0,40.0,2.0,0.0,8.0,125.0
2020-02-27,112.41666666666674,119.67619047619056,16.816666666666666,14.333333333333332,137.83095238095243,17.0,37.0,2.0,0.0,9.0,124.0
2020-02-28,98.98333333333355,104.61190476190508,13.576190476190478,11.635714285714286,120.90714285714311,14.0,39.0,2.0,0.0,9.0,124.0
2020-02-29,90.13809523809522,95.59761904761906,13.585714285714284,9.433333333333335,112.62857142857145,15.0,34.0,1.0,0.0,9.0,114.0
2020-03-01,89.72142857142879,94.26428571428593,14.078571428571426,9.009523809523813,107.40238095238115,15.0,36.0,1.0,0.0,8.0,109.0
2020-03-02,128.5619047619049,139.51428571428593,20.004761904761903,31.295238095238084,155.7666666666667,10.0,44.0,2.0,0.0,10.0,109.0
2020-03-03,173.9880952380952,191.05476190476185,31.430952380952373,37.09047619047618,206.27142857142843,11.0,57.0,4.0,0.0,7.0,133.0
2020-03-04,211.60476190476174,227.43809523809512,26.545238095238094,27.007142857142853,231.27619047619032,10.0,58.0,7.0,0.0,8.0,156.0
2020-03-05,218.6904761904761,230.54285714285692,20.321428571428566,25.652380952380966,235.31428571428538,5.0,60.0,11.0,0.0,8.0,170.0
2020-03-06,226.5499999999998,242.21666666666638,23.576190476190472,33.769047619047626,249.72857142857126,8.0,69.0,11.0,0.0,10.0,197.0
2020-03-07,224.2571428571425,240.72619047619017,20.964285714285705,32.809523809523796,249.96666666666658,9.0,76.0,11.0,0.0,10.0,216.0
2020-03-08,214.8619047619046,234.92857142857153,25.678571428571423,36.71904761904765,244.71190476190495,10.0,86.0,13.0,0.0,10.0,237.0
2020-03-09,260.20476190476217,300.73095238095027,39.52857142857147,57.371428571428545,325.8499999999987,16.0,104.0,15.0,0.0,12.0,280.0
2020-03-10,348.2809523809514,400.6476190476178,60.359523809523814,69.90952380952385,442.0904761904757,23.0,114.0,16.0,0.0,15.0,324.0
2020-03-11,462.3999999999987,523.4880952380963,88.39523809523808,101.87142857142864,584.8404761904767,31.0,152.0,18.0,0.0,18.0,393.0
2020-03-12,636.807142857144,722.6333333333331,129.4714285714285,126.5095238095239,824.0880952380954,41.0,230.0,20.0,1.0,20.0,506.0
2020-03-13,1060.7190476190447,1197.4952380952416,191.5190476190476,182.96666666666647,1350.2142857142883,65.0,357.0,22.0,2.0,33.0,755.0
2020-03-14,1030.316666666665,1166.795238095244,186.8857142857143,203.79047619047606,1311.9666666666708,66.0,383.0,25.0,2.0,38.0,817.0
2020-03-15,928.9714285714279,1056.8904761904644,170.0476190476188,204.11666666666665,1192.4857142857143,77.0,418.0,33.0,2.0,48.0,915.0
2020-03-16,1479.771428571442,1634.166666666688,217.55476190476173,264.11666666666565,1843.821428571444,90.0,549.0,41.0,3.0,74.0,1229.0
2020-03-17,2155.766666666673,2384.564285714295,330.4023809523806,395.7976190476184,2666.0214285714305,111.0,696.0,55.0,4.0,98.0,1622.0
2020-03-18,2190.0833333333576,2420.811904761923,354.866666666666,425.8190476190464,2695.914285714297,121.0,777.0,64.0,7.0,119.0,1808.0
2020-03-19,2047.5428571428629,2265.2738095238783,340.8976190476189,402.44523809523736,2503.4119047619333,124.0,830.0,69.0,8.0,132.0,1970.0
2020-03-20,1932.4452380952466,2133.785714285742,326.16666666666777,363.53333333333256,2353.1547619048083,129.0,831.0,72.0,7.0,145.0,2036.0
2020-03-21,1568.0523809524054,1735.019047619087,267.5785714285722,293.41904761904493,1912.8595238095502,117.0,735.0,69.0,6.0,139.0,1852.0
2020-03-22,1421.402380952392,1590.0214285714337,251.4119047619035,294.8976190476165,1755.1190476190513,121.0,793.0,72.0,6.0,137.0,1914.0
